Item Type,Order ID,Units Sold,Total Cost,Total Profit
Office Supplies,292494523,4484,2353920.64,566105.00
Beverages,361825549,1075,34174.25,16834.50
Vegetables,141515767,6515,592408.95,411291.95
Household,500364005,7683,3861014.82,1273303.59
Beverages,127481591,3491,110978.89,54669.06
Beverages,482292354,9880,314085.20,154720.80
Vegetables,844532620,4825,438737.25,304602.25
Baby Food,564251220,3330,530868.60,319213.80
Meat,411809480,2431,886561.39,139053.20
Office Supplies,327881228,6197,3253177.12,782371.25
Cereal,773452794,724,84787.64,64139.16
Baby Food,479823005,9145,1457895.90,876639.70
Office Supplies,498603188,6618,3474185.28,835522.50
Household,151717174,5338,2682558.52,884666.74
Clothes,181401288,9527,341447.68,699662.88
Snacks,500204360,441,42971.04,24316.74
Beverages,640987718,1365,43393.35,21375.90
Beverages,206925189,2617,83194.43,40982.22
Personal Care,221503102,6545,370905.15,164017.70
Snacks,878520286,2530,246523.20,139504.20
Cosmetics,192088067,1983,522183.39,344784.21
Office Supplies,746630275,3345,1755991.20,422306.25
Snacks,246883237,7091,690947.04,390997.74
Cosmetics,967895781,725,190914.25,126055.75
Meat,305029237,3784,1379986.96,216444.80
Vegetables,223957431,2835,257786.55,178973.55
Clothes,510666692,6477,232135.68,475670.88
Baby Food,121455848,339,54043.38,32496.54
Baby Food,332936227,2083,332071.86,199676.38
Beverages,692031657,6401,203487.79,100239.66
Office Supplies,365978467,16,8399.36,2020.00
Personal Care,392325484,6684,378782.28,167501.04
Baby Food,528934037,2191,349289.22,210029.26
Vegetables,603977954,9353,850468.29,590454.89
Fruits,965943562,3020,20898.40,7278.20
Cosmetics,233629691,5072,1335609.76,881868.64
Personal Care,246147668,9420,533831.40,236065.20
Beverages,212921321,7005,222688.95,109698.30
Fruits,763686978,803,5556.76,1935.23
Baby Food,798493468,816,130086.72,78221.76
Cereal,637702119,9083,1063710.13,804662.97
Clothes,671986758,4670,167372.80,342964.80
Clothes,912333714,8675,310912.00,637092.00
Cosmetics,540041816,9229,2430272.57,1604646.23
Household,156722390,6493,3262992.22,1076084.89
Cereal,434299266,7659,896945.49,678510.81
Baby Food,765008771,1950,310869.00,186927.00
Baby Food,611399734,5623,896418.66,539020.78
Personal Care,856333482,6962,394536.54,174467.72
Fruits,652983844,1285,8892.20,3096.85
Cosmetics,574837148,5941,1564443.53,1032961.67
Clothes,365692222,5310,190310.40,389966.40
Cereal,289660394,5802,679472.22,513999.18
Vegetables,681165492,861,78290.73,54354.93
Office Supplies,594943845,5959,3128236.64,752323.75
Meat,956044280,3603,1313978.07,206091.60
Fruits,509828126,8327,57622.84,20068.07
Personal Care,771969211,1699,96282.33,42576.94
Cereal,178453862,7318,857010.98,648301.62
Personal Care,835580909,5814,329479.38,145698.84
Office Supplies,869961678,9848,5169806.08,1243310.00
